               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.03499,            0.021408,            0.018375,             0.63397,             0.62471,             0.66673,             0.39718,            0.017871,           0.0084322,             0.01547,            0.006436,            0.006436,            0.006436
                  38,            0.035308,            0.021312,            0.018442,             0.67863,             0.66278,             0.73673,             0.43962,            0.017219,           0.0087962,            0.016666,            0.006337,            0.006337,            0.006337
                  39,            0.037317,            0.020478,            0.018959,             0.61477,              0.6461,             0.70421,             0.42029,            0.017986,           0.0085966,            0.017966,            0.006238,            0.006238,            0.006238
                  40,            0.035193,            0.021372,            0.016799,             0.67842,              0.5777,             0.68795,             0.42426,            0.016569,           0.0080626,            0.019532,            0.006139,            0.006139,            0.006139
                  41,            0.035193,            0.021311,            0.016941,             0.63939,             0.60008,             0.66534,             0.42386,            0.018235,            0.008031,            0.018079,             0.00604,             0.00604,             0.00604
                  42,            0.036263,            0.020762,            0.018184,             0.57817,             0.61229,             0.68679,             0.40242,             0.01709,           0.0077507,            0.016907,            0.005941,            0.005941,            0.005941
                  43,            0.035641,            0.021004,            0.017804,             0.62326,               0.687,             0.71713,             0.42894,            0.017114,           0.0085531,             0.01408,            0.005842,            0.005842,            0.005842
                  44,            0.032828,            0.019794,              0.0184,             0.59076,             0.63553,             0.67714,             0.41408,            0.020312,           0.0078825,             0.01684,            0.005743,            0.005743,            0.005743
                  45,            0.034553,            0.020847,            0.015319,             0.65184,             0.58871,             0.66266,             0.38111,            0.019652,           0.0079295,            0.018623,            0.005644,            0.005644,            0.005644
                  46,             0.03396,             0.02051,            0.014029,             0.61654,             0.67728,             0.68738,             0.42753,            0.020728,            0.008053,            0.015337,            0.005545,            0.005545,            0.005545
                  47,            0.034332,            0.020623,            0.014592,             0.65902,             0.62901,             0.71225,             0.44824,            0.019308,           0.0075361,            0.015129,            0.005446,            0.005446,            0.005446
                  48,            0.031987,            0.019597,            0.011661,             0.65835,             0.65982,              0.7075,             0.42948,            0.018866,           0.0080041,            0.018064,            0.005347,            0.005347,            0.005347
                  49,             0.03422,            0.018702,            0.015786,              0.6816,             0.64321,             0.70711,             0.43794,            0.017746,           0.0081928,            0.014621,            0.005248,            0.005248,            0.005248
                  50,             0.03258,            0.018353,             0.01728,             0.63521,             0.70119,             0.73237,             0.47226,            0.017706,            0.008356,            0.013708,            0.005149,            0.005149,            0.005149
                  51,            0.030732,            0.019238,            0.015358,             0.66099,             0.66882,             0.73459,             0.48683,            0.017157,            0.008611,            0.012804,             0.00505,             0.00505,             0.00505
                  52,            0.031808,            0.019128,            0.014593,              0.6273,             0.74072,             0.74171,              0.4613,            0.017092,           0.0077252,            0.015359,            0.004951,            0.004951,            0.004951
                  53,            0.032682,             0.01941,            0.015187,              0.6209,              0.6681,             0.75002,             0.48499,             0.01725,             0.00823,            0.015653,            0.004852,            0.004852,            0.004852
                  54,            0.031683,            0.019529,            0.010959,              0.6991,             0.64962,             0.75782,             0.43028,             0.01883,           0.0081553,            0.014973,            0.004753,            0.004753,            0.004753
                  55,            0.031101,            0.018795,            0.012161,             0.69623,             0.73381,             0.76564,             0.47775,            0.016838,           0.0079541,            0.014276,            0.004654,            0.004654,            0.004654
                  56,            0.030429,            0.018522,            0.011935,             0.74025,             0.69002,             0.76139,             0.46835,             0.01848,           0.0083851,            0.012693,            0.004555,            0.004555,            0.004555
                  57,            0.031682,            0.019678,            0.011797,             0.72785,             0.67804,             0.74959,             0.48807,            0.017159,           0.0080338,            0.012959,            0.004456,            0.004456,            0.004456
                  58,            0.029918,            0.018768,            0.010933,             0.69127,             0.76842,             0.77628,             0.49783,            0.017426,           0.0075026,            0.013563,            0.004357,            0.004357,            0.004357
                  59,             0.03007,            0.018865,            0.012304,             0.67437,             0.79269,             0.77159,             0.47628,            0.015705,           0.0075113,            0.014834,            0.004258,            0.004258,            0.004258
                  60,            0.032139,             0.01972,            0.012261,             0.67959,             0.71425,             0.75329,             0.47596,            0.016231,           0.0077031,             0.01619,            0.004159,            0.004159,            0.004159
                  61,            0.030811,            0.019208,            0.011853,             0.63802,             0.68933,              0.7348,             0.46953,            0.017591,           0.0077165,            0.017373,             0.00406,             0.00406,             0.00406
                  62,            0.029068,            0.019093,            0.011256,              0.7345,             0.65324,             0.73335,              0.4871,            0.017672,           0.0079835,            0.015649,            0.003961,            0.003961,            0.003961
                  63,            0.028441,            0.017844,            0.010954,             0.63668,             0.75618,             0.76177,              0.4947,            0.017613,           0.0078997,            0.015251,            0.003862,            0.003862,            0.003862
                  64,            0.028422,            0.017888,           0.0091044,              0.7493,             0.72902,             0.79209,             0.51332,            0.016563,           0.0076571,            0.013081,            0.003763,            0.003763,            0.003763
                  65,              0.0298,            0.017315,            0.012109,             0.71432,             0.72599,             0.76586,             0.50557,             0.01683,           0.0076289,            0.014864,            0.003664,            0.003664,            0.003664
                  66,            0.027914,            0.017531,           0.0088619,             0.70785,             0.74454,             0.77793,             0.51272,            0.016695,           0.0076703,            0.013987,            0.003565,            0.003565,            0.003565
                  67,            0.030246,            0.017642,           0.0089258,             0.65188,             0.78343,             0.78304,             0.52858,            0.016336,           0.0074737,            0.013019,            0.003466,            0.003466,            0.003466
                  68,            0.028522,             0.01827,           0.0099469,             0.77436,              0.7186,             0.79584,             0.53146,            0.016613,           0.0076935,            0.012208,            0.003367,            0.003367,            0.003367
                  69,            0.027564,            0.017905,            0.011199,             0.77016,             0.74244,             0.81583,             0.54617,            0.016853,           0.0076079,             0.01189,            0.003268,            0.003268,            0.003268
                  70,            0.027919,            0.016785,            0.011666,             0.79024,             0.73648,             0.80189,             0.53525,            0.017124,           0.0079193,            0.010619,            0.003169,            0.003169,            0.003169
                  71,            0.028225,            0.018896,           0.0081733,             0.76454,             0.74346,             0.81716,              0.5443,            0.017048,           0.0074769,             0.01141,             0.00307,             0.00307,             0.00307
                  72,            0.028616,            0.018085,           0.0080279,             0.89709,             0.65641,              0.8143,             0.55346,            0.016325,           0.0072358,             0.01157,            0.002971,            0.002971,            0.002971
                  73,            0.027678,            0.017303,           0.0087163,             0.84308,             0.68911,              0.8225,             0.56723,            0.016918,           0.0072379,           0.0099396,            0.002872,            0.002872,            0.002872
                  74,            0.026456,            0.017241,           0.0082182,             0.85068,             0.68143,             0.81366,             0.54752,            0.015648,           0.0077144,            0.010311,            0.002773,            0.002773,            0.002773
                  75,            0.026569,            0.017927,           0.0076681,             0.78217,             0.66712,             0.79072,             0.54403,            0.015293,           0.0072574,            0.013777,            0.002674,            0.002674,            0.002674
                  76,            0.026948,            0.016501,           0.0079208,             0.73448,             0.71756,             0.79803,             0.53046,            0.016881,           0.0075122,            0.012995,            0.002575,            0.002575,            0.002575
                  77,            0.026513,            0.016907,           0.0090792,             0.72205,             0.73902,             0.78626,             0.53781,            0.016902,           0.0075643,            0.014321,            0.002476,            0.002476,            0.002476
                  78,            0.025894,             0.01817,           0.0068899,             0.75392,             0.70921,             0.78592,             0.53163,            0.016601,           0.0074065,            0.015313,            0.002377,            0.002377,            0.002377
                  79,            0.024432,            0.016477,           0.0090165,             0.75127,             0.69407,             0.80263,             0.56176,            0.015938,           0.0077278,             0.01173,            0.002278,            0.002278,            0.002278
                  80,            0.026037,            0.016924,           0.0085051,             0.82381,             0.67986,             0.79583,             0.54776,            0.016329,            0.008102,            0.010399,            0.002179,            0.002179,            0.002179
                  81,            0.024363,            0.015904,           0.0070381,             0.69276,             0.72614,             0.77767,             0.52064,            0.017055,            0.008351,            0.011502,             0.00208,             0.00208,             0.00208
                  82,            0.027393,            0.016729,            0.010303,              0.6546,             0.60385,             0.72396,             0.48456,            0.015685,           0.0082934,            0.016285,            0.001981,            0.001981,            0.001981
                  83,            0.026596,            0.017739,           0.0088367,             0.68176,              0.7332,             0.78894,             0.52234,            0.016295,           0.0077382,            0.013786,            0.001882,            0.001882,            0.001882
                  84,            0.023117,            0.016395,           0.0072927,             0.75152,             0.71578,             0.80916,              0.5591,            0.016513,            0.007526,            0.011472,            0.001783,            0.001783,            0.001783
